Customer ID,Customer Name,Customer Email,Phone Number,Product ID,Product Name,Purchase Date,Quantity,Price per Unit,Total Price,Payment Method,Shipping Address,Feedback Score,Discount Applied,Transaction Status,Purchase Type
1,Alex Anderson,kramos@baird.com,469.331.1356,103,Rag Type C,2024-09-03,1,6.25,6.25,PayPal,"51705 Ryan Orchard, Williamsbury, WV 27207",4,15%,Successful,In-store
2,Adrian Daniels,gregory96@hotmail.com,001-103-780-1056x30957,104,Rag Type D,2024-03-24,11,4.75,52.25,Cash,"USCGC Walker, FPO AE 33074",4,10%,Successful,Online
3,Misty Craig,brian28@martin-pham.com,168-782-7001x2148,103,Rag Type C,2024-03-09,5,6.25,31.25,Credit Card,"146 Hudson Divide, Port Carol, LA 69845",1,15%,Successful,Online
4,Joseph Hess IV,taylorlori@yahoo.com,+1-072-724-4300,103,Rag Type C,2024-07-24,2,6.25,12.5,Cash,"1484 Barry Brooks Apt. 251, East David, TN 35123",1,15%,Failed,Online
5,Nicole Ochoa,livingstonjustin@hotmail.com,(986)885-9494x384,102,Rag Type B,2024-05-15,10,3.5,35.0,PayPal,"4935 Rachel Pines, Nguyenland, KY 94975",1,0,Failed,Online
6,Ashley Rodriguez,robert47@hotmail.com,0412321372,101,Rag Type A,2024-08-09,20,5.0,100.0,Cash,"363 Jamie Union, South Jacobmouth, VT 39768",5,15%,Failed,In-store
7,Courtney Maxwell,oshields@zuniga.com,(805)454-2153,104,Rag Type D,2024-01-02,20,4.75,95.0,PayPal,"10048 Michael Light Suite 319, Aprilburgh, MN 62279",3,0,Failed,In-store
8,Kenneth Santiago,karen35@gmail.com,+1-916-832-8395,102,Rag Type B,2024-02-07,19,3.5,66.5,PayPal,"61924 Rhonda Light Suite 603, Stacymouth, NH 33187",1,5%,Successful,In-store
9,Michele Watson,wrightdawn@little-stevens.com,846-977-0406x0581,105,Rag Type E,2024-05-31,9,7.0,63.0,Cash,"67434 Amanda Crossing Apt. 787, East Sherry, WY 08132",1,5%,Successful,Online
10,Anthony Hudson,nicole62@young-jones.org,(029)984-1814x944,102,Rag Type B,2024-06-17,10,3.5,35.0,PayPal,"553 Joseph Club Suite 629, North Kristenborough, VA 79147",5,5%,Failed,In-store
11,Tiffany Ford,jaimesmith@yahoo.com,340.546.7716x6737,103,Rag Type C,2024-01-04,15,6.25,93.75,Credit Card,"98921 Young Trafficway Apt. 382, Edwardbury, WY 00625",4,15%,Failed,In-store
12,Ashley Baker,watkinspamela@acosta-cox.com,398-654-2150x0900,101,Rag Type A,2024-09-27,11,5.0,55.0,PayPal,"517 Bradley Trail, South Tiffany, KY 19407",4,15%,Failed,Online
13,Rachel Adams,amy14@hotmail.com,705.873.3103,105,Rag Type E,2024-01-11,17,7.0,119.0,Cash,"694 Gregory Ports, Wilsonfort, MT 53261",3,5%,Successful,In-store
14,Jennifer Rivas,michaelevans@henderson-peterson.com,(501)246-0457x7643,102,Rag Type B,2024-06-21,8,3.5,28.0,Credit Card,"17499 Vernon Extensions Apt. 733, Elizabethmouth, WY 98367",3,5%,Failed,Online
15,Charles Anthony,courtney70@hotmail.com,+1-255-444-8110x9185,101,Rag Type A,2024-02-22,15,5.0,75.0,Cash,"Unit 8813 Box 4513, DPO AA 71494",2,0,Failed,Online
16,Joseph Thompson,sfields@howard.com,(390)404-3532x04726,104,Rag Type D,2024-08-07,3,4.75,14.25,Credit Card,"25267 Christopher Union, Kingfurt, AK 56395",1,15%,Failed,In-store
17,Guy Bruce,jamierussell@gmail.com,+1-265-304-9291x44285,102,Rag Type B,2024-09-07,15,3.5,52.5,Credit Card,"57215 Robin Hills Apt. 991, Vazquezchester, WA 69663",1,15%,Failed,Online
18,Benjamin Shea,triciasingh@yahoo.com,(330)285-7027x288,102,Rag Type B,2024-06-13,2,3.5,7.0,Cash,"60442 Jeff Skyway Suite 244, Barronbury, VA 12660",5,0,Failed,Online
19,Charles Lucas,richardsimmons@garrett-lee.biz,001-011-440-7906x086,101,Rag Type A,2024-08-02,2,5.0,10.0,PayPal,"0367 Dalton Mission Suite 151, North Jessicashire, IN 78138",3,5%,Failed,Online
20,Sherry Prince,matthewblanchard@edwards-edwards.com,516.770.9367,105,Rag Type E,2024-02-06,19,7.0,133.0,Cash,"1807 Alejandra Loaf, Smithbury, PA 22919",3,15%,Successful,Online
21,Brian Goodman,hillanthony@gmail.com,879-243-0916x6780,104,Rag Type D,2024-05-21,12,4.75,57.0,PayPal,"1581 Cesar Harbor, Danielleville, MA 91055",5,10%,Successful,In-store
22,Martin Duran,cobbjody@welch-thompson.info,564-552-6340x689,103,Rag Type C,2024-01-09,18,6.25,112.5,PayPal,"9857 Cassandra Plaza, Lake Christine, MA 38628",1,15%,Failed,In-store
23,Anthony Alvarez,roberthenderson@hotmail.com,+1-545-343-9482x944,102,Rag Type B,2024-01-26,19,3.5,66.5,PayPal,"6932 Wood Groves, Lake Eugene, NM 15072",3,10%,Failed,In-store
24,Linda Donaldson,goodwinchelsea@gmail.com,598.668.6042x500,103,Rag Type C,2024-02-07,17,6.25,106.25,PayPal,"38250 Alyssa Motorway Suite 874, South Melanie, CO 58328",5,15%,Failed,In-store
25,Shannon Allen,franciscoreyes@hotmail.com,+1-011-982-7255x872,103,Rag Type C,2024-09-23,7,6.25,43.75,Credit Card,"8009 Amy Cape, Carterbury, NY 98118",3,5%,Successful,Online
26,Andrew Schroeder,wolfemichael@torres.biz,023-689-1567,103,Rag Type C,2024-02-24,8,6.25,50.0,Cash,"USCGC Tyler, FPO AA 34708",3,5%,Failed,In-store
27,Mary Brooks,jonathanmeyer@yahoo.com,654.582.2681x695,101,Rag Type A,2024-08-12,13,5.0,65.0,Credit Card,"Unit 6539 Box 9707, DPO AP 75389",5,5%,Failed,Online
28,Kevin Lee,mramsey@lopez.com,799-022-7412,105,Rag Type E,2024-02-01,20,7.0,140.0,Cash,"9948 Guerra Islands, Griffinburgh, MD 53143",1,0,Failed,In-store
29,John Sanchez,mitchellbryan@gmail.com,001-473-198-8871x09355,102,Rag Type B,2024-07-01,20,3.5,70.0,Credit Card,"42670 Joe Points Apt. 930, Lake Sabrina, MO 45110",5,0,Failed,Online
30,Elizabeth Allen,qharrington@yahoo.com,001-935-540-3636x71437,103,Rag Type C,2024-08-25,7,6.25,43.75,PayPal,"89464 Kelsey Plaza, South Marvinville, MI 92758",3,5%,Successful,Online
31,David Porter,watkinstimothy@hotmail.com,+1-594-154-0163x891,104,Rag Type D,2024-02-12,6,4.75,28.5,Cash,"10938 Brian Villages, Lake Jennifer, WA 35709",4,15%,Successful,In-store
32,Susan Jackson,gschwartz@hunter.biz,9111743214,102,Rag Type B,2024-05-25,9,3.5,31.5,PayPal,"7864 Avila Courts Suite 041, Lewisshire, KY 70239",4,10%,Failed,Online
33,William Bruce,trevinomichael@morris-white.net,+1-563-221-6443x5900,103,Rag Type C,2024-07-23,19,6.25,118.75,PayPal,"Unit 8144 Box 7717, DPO AA 76386",5,0,Failed,Online
34,Steven Fox,lbrown@yahoo.com,(189)554-9552x7398,101,Rag Type A,2024-02-07,8,5.0,40.0,PayPal,"690 Cook Prairie Apt. 165, North Stephanieton, MO 64724",1,10%,Successful,Online
35,Michelle Fischer,lindafarley@robinson.info,652.313.2598,105,Rag Type E,2024-06-19,15,7.0,105.0,Credit Card,"694 Amy Heights, Johnsonburgh, CO 29825",3,5%,Failed,In-store
36,Mark Murphy,harriscynthia@gmail.com,455-685-9568,101,Rag Type A,2024-08-31,14,5.0,70.0,PayPal,"2579 Erica Prairie Apt. 350, South Ryanfurt, AK 70181",1,10%,Failed,Online
37,Justin Oconnor,toddramirez@hotmail.com,+1-646-568-6827,101,Rag Type A,2024-08-10,14,5.0,70.0,Cash,"030 Donna Stravenue, Stephanietown, WI 70451",4,5%,Failed,In-store
38,Matthew Roberts,michelle05@yahoo.com,(585)665-8814,105,Rag Type E,2024-07-16,3,7.0,21.0,Cash,"949 Monica Estate, Lindahaven, MS 50670",2,5%,Failed,Online
39,Jackie James,andrew05@yahoo.com,001-986-628-8057,104,Rag Type D,2024-08-01,9,4.75,42.75,Cash,"59698 Campos Harbor Apt. 778, Marissashire, KY 83243",4,15%,Successful,Online
40,Erin Morgan,nmorris@morgan-smith.com,(657)025-1608,102,Rag Type B,2024-05-28,16,3.5,56.0,Credit Card,"62597 Gardner Ports, Jamieshire, ME 91352",4,0,Successful,Online
41,Haley Henderson,melissamorrison@lopez.biz,(195)069-6033x7286,104,Rag Type D,2024-05-06,1,4.75,4.75,PayPal,"20400 Williams Trail, West Denise, LA 18099",2,15%,Successful,In-store
42,Cassandra Washington,matthewreynolds@bowen-greene.com,(339)226-9818x63879,101,Rag Type A,2024-01-08,4,5.0,20.0,Credit Card,"056 Michael Estates, Michelleville, MT 67432",4,5%,Successful,In-store
43,Dana Jennings,trevor95@allen.info,001-635-983-9853x36369,105,Rag Type E,2024-07-14,8,7.0,56.0,Cash,"46351 Wise Shoals Apt. 769, Lake Richardshire, SD 08794",4,15%,Failed,Online
44,Dr. Christian Bentley,tina51@palmer.net,751-106-6631x26829,104,Rag Type D,2024-01-11,19,4.75,90.25,Cash,"1438 Brenda Estates Suite 280, Peterton, UT 34263",3,5%,Failed,In-store
45,Mike Goodman,tjenkins@gmail.com,(873)748-5871,103,Rag Type C,2024-04-04,15,6.25,93.75,Credit Card,"001 Reed Squares Suite 499, Michaelside, DE 95982",3,0,Successful,In-store
46,Daisy Alvarado,danamartinez@yahoo.com,943-177-1194x42742,102,Rag Type B,2024-09-05,8,3.5,28.0,PayPal,"1921 Gonzales Lodge, Michaelbury, WA 33976",2,5%,Successful,In-store
47,Ashley Melton,rosetran@colon.com,(895)340-0553x5020,102,Rag Type B,2024-01-25,17,3.5,59.5,Cash,"24771 Tina View, Lauraborough, ME 33240",3,0,Successful,In-store
48,Penny Guerra,boydricky@hotmail.com,980.205.2652x46497,105,Rag Type E,2024-06-15,10,7.0,70.0,Credit Card,"156 Lane Circles, Mcmahonfurt, FL 55831",5,10%,Failed,Online
49,Patrick Smith,susanmiller@hotmail.com,+1-592-300-0650,102,Rag Type B,2024-07-22,8,3.5,28.0,PayPal,"84809 Christian Lane Suite 756, East Paulmouth, MS 64179",3,0,Failed,In-store
50,Bobby Anderson,zdalton@stone-pruitt.com,001-451-604-3319x09782,103,Rag Type C,2024-09-11,19,6.25,118.75,Cash,"48901 Jennifer Crossing Suite 846, West Justin, GA 57429",1,5%,Successful,In-store
51,Jennifer Delgado,loganjohn@davis-kim.com,700.228.7156x2948,104,Rag Type D,2024-01-22,17,4.75,80.75,PayPal,"612 Harry Ports, Whiteland, NJ 76721",1,0,Failed,Online
52,Sean Landry,clinton35@smith-boyd.org,196.244.1677x71320,104,Rag Type D,2024-06-28,7,4.75,33.25,PayPal,"39975 Nathan Estates, North Samantha, WV 62382",5,0,Successful,In-store
53,Amanda Benton,clarkechristopher@edwards.org,+1-447-190-2944x7097,102,Rag Type B,2024-09-16,12,3.5,42.0,Cash,"552 Soto Drive, Westside, TX 76060",4,15%,Failed,In-store
54,Jessica Mitchell,williamlove@lopez.com,001-961-932-4374,101,Rag Type A,2024-08-08,14,5.0,70.0,Credit Card,"01091 Perkins Stream Suite 730, New Johnport, WY 62256",5,15%,Failed,Online
55,Karen Allen,isaunders@hotmail.com,0282566358,105,Rag Type E,2024-01-13,17,7.0,119.0,Cash,"79241 John Ramp, West Kathychester, OR 91093",2,0,Failed,In-store
56,Erin Clarke,vmoore@gmail.com,345.806.0937,103,Rag Type C,2024-01-08,4,6.25,25.0,Credit Card,"1015 Terrence Grove, North Sarah, MO 59050",1,10%,Failed,Online
57,Adam Brown,eric44@clay.com,889-044-6340x618,104,Rag Type D,2024-01-19,20,4.75,95.0,Cash,"13543 Leonard Forges, North Joshua, AR 24016",3,10%,Successful,In-store
58,Abigail Lee,moralesadriana@gmail.com,(545)006-4165,102,Rag Type B,2024-03-09,20,3.5,70.0,PayPal,"200 Newman Cove Suite 301, North Richardshire, WA 28359",2,0,Successful,In-store
59,Jean Miller,xbryant@torres.info,144-530-4481x86985,102,Rag Type B,2024-08-29,15,3.5,52.5,Cash,"97246 Elizabeth Road, New Meghanside, CO 60035",3,5%,Failed,In-store
60,Mark Morris,aibarra@robbins.info,4993896791,101,Rag Type A,2024-04-10,14,5.0,70.0,Cash,"89029 Pratt Highway, Port Bobby, LA 88981",5,15%,Successful,Online
61,Joanne Travis,opadilla@lynch.com,(341)247-1710,103,Rag Type C,2024-05-14,18,6.25,112.5,Credit Card,"784 Samantha Landing, Erinport, NY 50314",3,5%,Successful,In-store
62,William Avery,patrickturner@gmail.com,+1-448-359-2096x0932,104,Rag Type D,2024-07-10,9,4.75,42.75,PayPal,"135 Emily Keys Suite 720, East Abigailmouth, MN 47635",5,10%,Successful,In-store
63,Jennifer Raymond,martin66@richardson-ellis.com,6188060003,104,Rag Type D,2024-02-18,18,4.75,85.5,Cash,"74615 Andrew Center, South Elizabethchester, MS 49428",5,10%,Successful,Online
64,Jason Walsh,michaelperry@brown.info,(208)993-8839x54782,105,Rag Type E,2024-04-12,2,7.0,14.0,Cash,"520 Martinez Pass, West Tracy, VA 23312",5,10%,Failed,In-store
65,Laura Blackburn,kathryn37@gmail.com,884-094-5961x8901,105,Rag Type E,2024-02-22,5,7.0,35.0,PayPal,"8165 Phelps Key Apt. 992, Harrisonfort, NJ 75547",2,10%,Successful,Online
66,Joanna Woods,fcole@gmail.com,622-456-1285x12116,102,Rag Type B,2024-05-11,1,3.5,3.5,Credit Card,"76404 Hubbard Gateway Suite 754, New Carol, DC 22953",1,15%,Successful,In-store
67,David Roberts,stephaniedawson@medina.biz,466.800.1502x908,105,Rag Type E,2024-04-20,18,7.0,126.0,Credit Card,"PSC 2264, Box 2930, APO AP 70280",1,0,Failed,Online
68,Stephen Melton,hillkaren@myers.info,287.036.1899x9632,104,Rag Type D,2024-08-16,18,4.75,85.5,PayPal,"001 Ashley Parks Suite 684, New Isaacburgh, VA 15359",4,10%,Successful,In-store
